# Energy	Flux_temporale
7.049222773771211200e+16 1.242877482392482666e+12
7.067871511178060800e+16 1.527991107392523682e+12
7.086520248584909600e+16 1.796301593833695068e+12
7.105168985991759200e+16 2.048108438763835449e+12
7.123817723398608800e+16 2.283711139230750000e+12
7.142466460805458400e+16 2.503409192282251953e+12
7.161115198212308000e+16 2.707502094966157227e+12
7.179763935619157600e+16 2.896289344330282227e+12
7.198412673026007200e+16 3.070070437422437012e+12
7.217061410432857600e+16 3.229144871290452637e+12
7.235710147839705600e+16 3.373812142982117188e+12
7.254358885246556800e+16 3.504371749545283691e+12
7.273007622653404800e+16 3.621123188027727051e+12
7.291656360060256000e+16 3.724365955477302734e+12
7.310305097467104000e+16 3.814399548941787109e+12
7.328953834873952000e+16 3.891523465469018066e+12
7.347602572280803200e+16 3.956037202106821289e+12
7.366251309687651200e+16 4.008240255902987305e+12
7.384900047094502400e+16 4.048432123905350586e+12
7.403548784501350400e+16 4.076912303161716309e+12
7.422197521908201600e+16 4.093980290719903809e+12
7.440846259315049600e+16 4.099935583627729004e+12
7.459494996721900800e+16 4.095077678933000977e+12
7.478143734128748800e+16 4.079706073683545898e+12
7.496792471535600000e+16 4.054120264927169922e+12
7.515441208942448000e+16 4.018619749711697754e+12
7.534089946349299200e+16 3.973504025084937012e+12
7.552738683756147200e+16 3.919072588094706543e+12
7.571387421162998400e+16 3.855624935788816895e+12
7.590036158569846400e+16 3.783460565215096680e+12
7.608684895976694400e+16 3.702878973421355469e+12
7.627333633383545600e+16 3.614179657455392578e+12
7.645982370790393600e+16 3.517662114365052246e+12
7.664631108197244800e+16 3.413625841198114746e+12
7.683279845604092800e+16 3.302370335002436523e+12
7.701928583010944000e+16 3.184195092825792969e+12
7.720577320417792000e+16 3.059399611716037109e+12
7.739226057824643200e+16 2.928283388720946777e+12
7.757874795231491200e+16 2.791145920888379395e+12
7.776523532638342400e+16 2.648286705266104004e+12
7.795172270045190400e+16 2.500005238901982910e+12
7.813821007452041600e+16 2.346601018843786133e+12
7.832469744858889600e+16 2.188373542139376953e+12
7.851118482265740800e+16 2.025622305836515869e+12
7.869767219672588800e+16 1.858646806983080566e+12
7.888415957079440000e+16 1.687746542626824219e+12
7.907064694486288000e+16 1.513221009815621582e+12
7.925713431893136000e+16 1.335369705597260742e+12
7.944362169299987200e+16 1.154492127019522705e+12
7.963010906706835200e+16 9.708877711302875977e+11
7.981659644113686400e+16 7.848561349773079834e+11
8.000308381520534400e+16 5.966967156084644775e+11
8.018957118927385600e+16 4.067090100715017090e+11
8.037605856334233600e+16 2.151925154143083801e+11
8.056254593741084800e+16 2.244672868463184357e+10
8.074903331147932800e+16 -1.712288530696478271e+11
8.093552068554784000e+16 -3.655347328007831421e+11
8.112200805961632000e+16 -5.601714134608873291e+11
8.130849543368483200e+16 -7.548393980022159424e+11
8.149498280775331200e+16 -9.492391893768828125e+11
8.168147018182182400e+16 -1.143071290537142822e+12
8.186795755589030400e+16 -1.336036204435110352e+12
8.205444492995878400e+16 -1.527834434023006836e+12
8.224093230402729600e+16 -1.718166482253044189e+12
8.242741967809577600e+16 -1.906732852077349121e+12
8.261390705216428800e+16 -2.093234046448165771e+12
8.280039442623276800e+16 -2.277370568317612305e+12
8.298688180030128000e+16 -2.458842920637945801e+12
8.317336917436976000e+16 -2.637351606361279785e+12
8.335985654843827200e+16 -2.812597128439859375e+12
8.354634392250675200e+16 -2.984279989825812988e+12
8.373283129657526400e+16 -3.152100693471384766e+12
8.391931867064374400e+16 -3.315759742328701172e+12
8.410580604471225600e+16 -3.474957639349995605e+12
8.429229341878073600e+16 -3.629394887487410645e+12
8.447878079284924800e+16 -3.778771989693173828e+12
8.466526816691772800e+16 -3.922789448919420898e+12
8.485175554098624000e+16 -4.061147768118389160e+12
8.503824291505472000e+16 -4.193547450242208984e+12
8.522473028912320000e+16 -4.319688998243093750e+12
8.541121766319171200e+16 -4.439272915073247070e+12
8.559770503726019200e+16 -4.551999703684814453e+12
8.578419241132870400e+16 -4.657569867030016602e+12
8.597067978539718400e+16 -4.755683908061001953e+12
8.615716715946569600e+16 -4.846042329729989258e+12
8.634365453353417600e+16 -4.928345634989130859e+12
